OTU,Climatic_distance,Genetic_distance,Geographic_distance
inornatus_gr_cluster_2,0,0.173913043478261,0
inornatus_gr_cluster_2,0,0.379310344827586,0
inornatus_gr_cluster_2,0,0.191780821917808,0
inornatus_gr_cluster_2,0,0.229508196721311,0
inornatus_gr_cluster_2,537.781554164886,0.322033898305085,311.744197747037
inornatus_gr_cluster_2,537.781554164886,0.3375,311.744197747037
inornatus_gr_cluster_2,24.4335834457412,0.287878787878788,252.362088252116
inornatus_gr_cluster_2,537.781554164886,0.451612903225806,311.744197747037
inornatus_gr_cluster_2,281.526197715239,0.656716417910448,1203.63016688521
inornatus_gr_cluster_2,1058.85693084571,0.634146341463415,1084.36493078868
inornatus_gr_cluster_2,1009.90742149961,2.07692307692308,2020.47408319174
inornatus_gr_cluster_2,1706.28368098625,2.45454545454545,2045.52762302814
inornatus_gr_cluster_2,218.295671051902,2.25,1766.69094200694
inornatus_gr_cluster_2,246.669819799667,0.676923076923077,850.85276817116
inornatus_gr_cluster_2,358.501046023579,0.555555555555556,956.744399364102
inornatus_gr_cluster_2,208.949754725867,0.643835616438356,783.998655803943
inornatus_gr_cluster_2,144.107598689313,0.65,1410.14828600489
inornatus_gr_cluster_2,396.205754627567,0.486486486486486,828.116942033985
inornatus_gr_cluster_2,133.037588673277,0.675,1077.87496378607
inornatus_gr_cluster_2,3101.33664731838,0.735294117647059,925.243105440421
inornatus_gr_cluster_2,3101.33664731838,0.481927710843373,925.243105440421
inornatus_gr_cluster_2,1662.83071898495,0.325301204819277,954.411063927745
inornatus_gr_cluster_2,3437.14692732214,1.68085106382979,793.080269303543
inornatus_gr_cluster_2,1006.30711018059,0.579710144927536,633.773916806529
inornatus_gr_cluster_2,909.190299112348,1.24,659.729944734651
inornatus_gr_cluster_2,122.731414071541,0.466666666666667,227.364581352738
inornatus_gr_cluster_2,831.588840713967,0.90566037735849,441.377348562266
inornatus_gr_cluster_2,2095.25630890352,1.30612244897959,716.226368420277
inornatus_gr_cluster_2,2300.18347094313,1.5952380952381,730.589763034056
inornatus_gr_cluster_2,1359.07983577125,1.375,760.2338235629
inornatus_gr_cluster_2,1234.03363001176,0.825396825396825,595.059081769847
inornatus_gr_cluster_2,725.894620451206,1,440.914997360116
inornatus_gr_cluster_2,2597.87259117917,0.85,693.231021046505
inornatus_gr_cluster_2,102.513413756445,1.62790697674419,426.110717305551
inornatus_gr_cluster_2,186.951865462744,0.513157894736842,683.201456026849
inornatus_gr_cluster_2,158.009493385682,0.351851851851852,743.671401044393
inornatus_gr_cluster_2,0,0.015625,0
inornatus_gr_cluster_2,0,0.08,0
inornatus_gr_cluster_2,0,0.25,0
inornatus_gr_cluster_2,537.781554164886,0.242424242424242,311.744197747037
inornatus_gr_cluster_2,537.781554164886,0.120481927710843,311.744197747037
inornatus_gr_cluster_2,24.4335834457412,0.106060606060606,252.362088252116
inornatus_gr_cluster_2,537.781554164886,0.140845070422535,311.744197747037
inornatus_gr_cluster_2,281.526197715239,0.328358208955224,1203.63016688521
inornatus_gr_cluster_2,1058.85693084571,0.297297297297297,1084.36493078868
inornatus_gr_cluster_2,1009.90742149961,1,2020.47408319174
inornatus_gr_cluster_2,1706.28368098625,1.6,2045.52762302814
inornatus_gr_cluster_2,218.295671051902,1.03333333333333,1766.69094200694
inornatus_gr_cluster_2,246.669819799667,0.34375,850.85276817116
inornatus_gr_cluster_2,358.501046023579,0.238095238095238,956.744399364102
inornatus_gr_cluster_2,208.949754725867,0.22972972972973,783.998655803943
inornatus_gr_cluster_2,144.107598689313,0.266666666666667,1410.14828600489
inornatus_gr_cluster_2,396.205754627567,0.242857142857143,828.116942033985
inornatus_gr_cluster_2,133.037588673277,-0.0810810810810811,1077.87496378607
inornatus_gr_cluster_2,3101.33664731838,0.409090909090909,925.243105440421
inornatus_gr_cluster_2,3101.33664731838,0.0789473684210526,925.243105440421
inornatus_gr_cluster_2,1662.83071898495,0.0641025641025641,954.411063927745
inornatus_gr_cluster_2,3437.14692732214,0.634615384615385,793.080269303543
inornatus_gr_cluster_2,1006.30711018059,0.26865671641791,633.773916806529
inornatus_gr_cluster_2,909.190299112348,0.509090909090909,659.729944734651
inornatus_gr_cluster_2,122.731414071541,0.125,227.364581352738
inornatus_gr_cluster_2,831.588840713967,0.26530612244898,441.377348562266
inornatus_gr_cluster_2,2095.25630890352,0.462962962962963,716.226368420277
inornatus_gr_cluster_2,2300.18347094313,0.565217391304348,730.589763034056
inornatus_gr_cluster_2,1359.07983577125,0.58,760.2338235629
inornatus_gr_cluster_2,1234.03363001176,0.349206349206349,595.059081769847
inornatus_gr_cluster_2,725.894620451206,0.4,440.914997360116
inornatus_gr_cluster_2,2597.87259117917,0.246153846153846,693.231021046505
inornatus_gr_cluster_2,102.513413756445,0.673913043478261,426.110717305551
inornatus_gr_cluster_2,186.951865462744,0.205479452054795,683.201456026849
inornatus_gr_cluster_2,158.009493385682,0.0681818181818182,743.671401044393
inornatus_gr_cluster_2,0,0.101449275362319,0
inornatus_gr_cluster_2,0,0.307692307692308,0
inornatus_gr_cluster_2,537.781554164886,0.473684210526316,311.744197747037
inornatus_gr_cluster_2,537.781554164886,0.306666666666667,311.744197747037
inornatus_gr_cluster_2,24.4335834457412,0.241379310344828,252.362088252116
inornatus_gr_cluster_2,537.781554164886,0.433333333333333,311.744197747037
inornatus_gr_cluster_2,281.526197715239,0.654545454545454,1203.63016688521
inornatus_gr_cluster_2,1058.85693084571,0.666666666666667,1084.36493078868
inornatus_gr_cluster_2,1009.90742149961,1.81818181818182,2020.47408319174
inornatus_gr_cluster_2,1706.28368098625,2.16666666666667,2045.52762302814
inornatus_gr_cluster_2,218.295671051902,1.63636363636364,1766.69094200694
inornatus_gr_cluster_2,246.669819799667,0.745454545454545,850.85276817116
inornatus_gr_cluster_2,358.501046023579,0.305084745762712,956.744399364102
inornatus_gr_cluster_2,208.949754725867,0.390625,783.998655803943
inornatus_gr_cluster_2,144.107598689313,0.75,1410.14828600489
inornatus_gr_cluster_2,396.205754627567,0.417910447761194,828.116942033985
inornatus_gr_cluster_2,133.037588673277,0.648648648648649,1077.87496378607
inornatus_gr_cluster_2,3101.33664731838,0.596774193548387,925.243105440421
inornatus_gr_cluster_2,3101.33664731838,0.36,925.243105440421
inornatus_gr_cluster_2,1662.83071898495,0.266666666666667,954.411063927745
inornatus_gr_cluster_2,3437.14692732214,1.09090909090909,793.080269303543
inornatus_gr_cluster_2,1006.30711018059,0.672413793103448,633.773916806529
inornatus_gr_cluster_2,909.190299112348,1.13333333333333,659.729944734651
inornatus_gr_cluster_2,122.731414071541,0.333333333333333,227.364581352738
inornatus_gr_cluster_2,831.588840713967,0.659090909090909,441.377348562266
inornatus_gr_cluster_2,2095.25630890352,0.833333333333333,716.226368420277
inornatus_gr_cluster_2,2300.18347094313,1.18421052631579,730.589763034056
inornatus_gr_cluster_2,1359.07983577125,0.979166666666667,760.2338235629
inornatus_gr_cluster_2,1234.03363001176,0.642857142857143,595.059081769847
inornatus_gr_cluster_2,725.894620451206,0.836363636363636,440.914997360116
inornatus_gr_cluster_2,2597.87259117917,0.811320754716981,693.231021046505
inornatus_gr_cluster_2,102.513413756445,1.36111111111111,426.110717305551
inornatus_gr_cluster_2,186.951865462744,0.449275362318841,683.201456026849
inornatus_gr_cluster_2,158.009493385682,0.1,743.671401044393
inornatus_gr_cluster_2,0,0.112676056338028,0
inornatus_gr_cluster_2,537.781554164886,0.114285714285714,311.744197747037
inornatus_gr_cluster_2,537.781554164886,0.141304347826087,311.744197747037
inornatus_gr_cluster_2,24.4335834457412,0.216216216216216,252.362088252116
inornatus_gr_cluster_2,537.781554164886,0.233766233766234,311.744197747037
inornatus_gr_cluster_2,281.526197715239,0.386666666666667,1203.63016688521
inornatus_gr_cluster_2,1058.85693084571,0.358490566037736,1084.36493078868
inornatus_gr_cluster_2,1009.90742149961,0.925,2020.47408319174
inornatus_gr_cluster_2,1706.28368098625,1.45454545454545,2045.52762302814
inornatus_gr_cluster_2,218.295671051902,1.19444444444444,1766.69094200694
