ID,cluster,coeff
AMR_123129_Ct_zast,cluster_6,0.9993
CUMV_14305_Ct_gran,cluster_5,0.9993
CUMV_14312_Ct_gran,cluster_5,0.9993
CUMV_14357_Ct_dux,cluster_4,0.9993
CUMV_14361_Ct_dux,cluster_4,0.9993
CUMV_14362_Ct_dux,cluster_4,0.9993
CUMV_14366_Ct_dux,cluster_4,0.9993
CUMV_14367_Ct_dux,cluster_4,0.9993
CUMV_14370_Ct_dux,cluster_4,0.9993
CUMV_14373_Ct_dux,cluster_4,0.9993
CUMV_14374_Ct_dux,cluster_4,0.9993
CUMV_14812_Ct_aria,cluster_7,0.9993
CUMV_14817_Ct_quat,cluster_8,0.9993
CUMV_14820_Ct_quat,cluster_8,0.883768
QMJ_62380_Ct_dux,cluster_4,0.9993
SAMAR_29946_Ct_dux,cluster_4,0.9993
SAMAR_35025_Ct_aria,cluster_7,0.9993
SAMAR_38117_Ct_aria,cluster_7,0.9993
SAMAR_45960_Ct_aria,cluster_7,0.9993
SAMAR_48573_Ct_dux,cluster_4,0.9993
SAMAR_57212_Ct_dux,cluster_4,0.9993
SAMR_31899_Ct_atla,cluster_8,0.9993
SAMR_32080_Ct_atla,cluster_8,0.9993
SAMR_32256_Ct_atla,cluster_8,0.9993
SAMR_36098_Ct_dux,cluster_4,0.9993
SAMR_37942_Ct_atla,cluster_8,0.9993
SAMR_42034_Ct_dux,cluster_4,0.9993
SAMR_45385_Ct_pian,cluster_2,0.9993
SAMR_45608_Ct_dux,cluster_4,0.9993
SAMR_46165_Ct_dux,cluster_4,0.9993
SAMR_48698_Ct_gran,cluster_3,0.9993
SAMR_48807_Ct_pian,cluster_2,0.9993
SAMR_48821_Ct_gran,cluster_5,0.9993
SAMR_55208_Ct_atla,cluster_8,0.981957
SAMR_56476_Ct_dux,cluster_4,0.9993
SAMR_57397_Ct_atla,cluster_8,0.9993
SAMR_60360_Ct_atla,cluster_8,0.9993
SAMR_62379_Ct_dux,cluster_4,0.9993
UMMZ_242608_Ct_gran,cluster_5,0.9993
UMMZ_242609_Ct_gran,cluster_5,0.9993
UMMZ_242613_Ct_gran,cluster_5,0.9993
UMMZ_242644_Ct_pian,cluster_2,0.9061
UMMZ_242654_Ct_zast,cluster_6,0.9993
UMMZ_242655_Ct_zast,cluster_6,0.9993
WAMR_099165_Ct_duri,cluster_2,0.9993
WAMR_102159_Ct_duri,cluster_1,0.9993
WAMR_102472_Ct_hele,cluster_3,0.9993
WAMR_102494_Ct_duri,cluster_1,0.9993
WAMR_110222_Ct_duri,cluster_1,0.9993
WAMR_111584_Ct_duri,cluster_1,0.9993
WAMR_113416_Ct_atla,cluster_8,0.9993
WAMR_119955_Ct_pian,cluster_2,0.9993
WAMR_126428_Ct_atla,cluster_8,0.9993
WAMR_135218_Ct_atla,cluster_8,0.9993
WAMR_135237_Ct_atla,cluster_8,0.9993
WAMR_136457_Ct_atla,cluster_8,0.9993
WAMR_139394_Ct_duri,cluster_2,0.9993
WAMR_140983_Ct_mary,cluster_7,0.9993
WAMR_141296_Ct_duri,cluster_1,0.9993
WAMR_157067_Ct_duri,cluster_2,0.998749
WAMR_157583_Ct_hanl,cluster_3,0.9993
WAMR_158428_Ct_mary,cluster_7,0.9993
WAMR_160095_Ct_duri,cluster_2,0.9993
WAMR_161462_Ct_duri,cluster_2,0.9993
WAMR_162334_Ct_duri,cluster_2,0.902259
WAMR_166441_Ct_dux,cluster_4,0.9993
WAMR_166456_Ct_pian,cluster_2,0.89939
WAMR_170467_Ct_duri,cluster_2,0.979008
WAMR_170880_Ct_duri,cluster_2,0.9993
