,CUMV_14847_Ct_quat,SAMR_43844_Ct_quat,SAMR_44403_Ct_quat,SAMR_48772_Ct_quat,SAMR_58939_Ct_quat,SAMR_62088_Ct_quat,UMMZ_242645_Ct_quat,UMMZ_242646_Ct_quat,WAMR_127432_Ct_quat
CUMV_14847_Ct_quat,NA,507.505570162273,673.215886923681,599.118172687332,636.006893974004,625.176830961677,1068.02709195593,1069.99899607238,895.411592945098
SAMR_43844_Ct_quat,507.505570162273,NA,261.308204447978,180.998391563311,137.820254703608,439.479228423312,1037.29834789421,1038.27326267871,1068.2850362953
SAMR_44403_Ct_quat,673.215886923681,261.308204447978,NA,84.3219075158739,284.82549625784,276.570146384208,850.704341084666,851.200551274638,973.227526388496
SAMR_48772_Ct_quat,599.118172687332,180.998391563311,84.3219075158739,NA,231.06615015671,295.936511510125,889.702987345632,890.413629273812,976.413738250137
SAMR_58939_Ct_quat,636.006893974004,137.820254703608,284.82549625784,231.06615015671,NA,524.790956279696,1120.65823859906,1121.3858719331,1186.39114307973
SAMR_62088_Ct_quat,625.176830961677,439.479228423312,276.570146384208,295.936511510125,524.790956279696,NA,598.708455093346,599.600604508993,698.236914900202
UMMZ_242645_Ct_quat,1068.02709195593,1037.29834789421,850.704341084666,889.702987345632,1120.65823859906,598.708455093346,NA,2.56248856447511,416.706618686755
UMMZ_242646_Ct_quat,1069.99899607238,1038.27326267871,851.200551274638,890.413629273812,1121.3858719331,599.600604508993,2.56248856447511,NA,419.18006000237
WAMR_127432_Ct_quat,895.411592945098,1068.2850362953,973.227526388496,976.413738250137,1186.39114307973,698.236914900202,416.706618686755,419.18006000237,NA
